Date,Year,Round,Region,Winning Seed,Winner,wConf,Winning Score,Losing Seed,Loser,Lconf,Losing Score,Overtime,MV,SeD,Upset,LEW,LAW,LDW,Wrating,Lrating,Drating,S/F,Abs,Hit
14-Mar-17,2017,PI,South,11,Kansas St,B12,95,11,Wake Forest,ACC,88,,7,0,,0.598484848,0,-0.598484848,17.44,16.25,1.19,Hit,1.19,1
14-Mar-17,2017,PI,East,16,Mount St. Mary's,NEC,67,16,New Orleans,Slnd,66,,1,0,,0,0,0,-3.86,-0.52,-3.34,Miss,3.34,0
15-Mar-17,2017,PI,Midwest,16,UC Davis,BW,67,16,North Carolina Central,MEAC,63,,4,0,,0,0,0,-4.41,0.36,-4.77,Miss,4.77,0
15-Mar-17,2017,PI,East,11,USC,P12,75,11,Providence,BE,71,,4,0,,0.598484848,0,-0.598484848,13.45,12.43,1.02,Hit,1.02,1
16-Mar-17,2017,1,South,12,Middle Tennessee,CUSA,81,5,Minnesota,B10,72,,9,-7,12 over 5,1.098484848,0,-1.098484848,14.95,16,-1.05,Miss,1.05,0
16-Mar-17,2017,1,West,11,Xavier,BE,76,6,Maryland,B10,65,,11,-5,11 over 6,1.098484848,0,-1.098484848,16.7,14.34,2.36,Hit,2.36,1
16-Mar-17,2017,1,West,5,Notre Dame,ACC,60,12,Princeton,Ivy,58,,2,7,,0.515151515,0,-0.515151515,19.74,12.61,7.13,Hit,7.13,1
16-Mar-17,2017,1,East,5,Virginia,ACC,76,12,UNC Wilmington,CAA,71,,5,7,,0.515151515,0,-0.515151515,24.29,12.46,11.83,Hit,11.83,1
16-Mar-17,2017,1,South,4,Butler,BE,76,13,Winthrop,BSth,64,,12,9,,0.242424242,0,-0.242424242,20.76,4.53,16.23,Hit,16.23,1
16-Mar-17,2017,1,West,1,Gonzaga,WCC,66,16,San Diego St,MWC,46,,20,15,,0,0,0,32.05,8.99,23.06,Hit,23.06,1
16-Mar-17,2017,1,West,4,West Virginia,B12,86,13,Bucknell,Pat,80,,6,9,,0.242424242,0,-0.242424242,27.17,9.38,17.79,Hit,17.79,1
16-Mar-17,2017,1,East,4,Florida,SEC,80,13,East Tennessee St,SC,65,,15,9,,0.242424242,0,-0.242424242,27.5,11.1,16.4,Hit,16.4,1
16-Mar-17,2017,1,West,8,Northwestern,B10,68,9,Vanderbilt,SEC,66,,2,1,,0.553030303,0,-0.553030303,15.81,16.53,-0.72,Miss,0.72,0
16-Mar-17,2017,1,East,1,Villanova,BE,76,16,Mount St. Mary's,NEC,56,,20,15,,0,0,0,29.88,-3.86,33.74,Hit,33.74,1
16-Mar-17,2017,1,West,7,Saint Mary's,WCC,85,10,VCU,A10,77,,8,3,,0.628787879,0,-0.628787879,23.67,14.07,9.6,Hit,9.6,1
16-Mar-17,2017,1,Midwest,4,Purdue,B10,80,13,Vermont,AE,70,,10,9,,0.242424242,0,-0.242424242,23.12,11.67,11.45,Hit,11.45,1
16-Mar-17,2017,1,West,3,Florida St,ACC,86,14,Florida Gulf Coast,ASun,80,,6,11,,0.174242424,0,-0.174242424,20.06,5.07,14.99,Hit,14.99,1
16-Mar-17,2017,1,East,8,Wisconsin,B10,84,9,Virginia Tech,ACC,74,,10,1,,0.553030303,0,-0.553030303,22.99,13.8,9.19,Hit,9.19,1
16-Mar-17,2017,1,Midwest,5,Iowa St,B12,84,12,Nevada,MWC,73,,11,7,,0.515151515,0,-0.515151515,23.45,13.31,10.14,Hit,10.14,1
16-Mar-17,2017,1,West,2,Arizona,P12,100,15,North Dakota,BSky,82,,18,13,,0.068181818,0,-0.068181818,23.31,0.04,23.27,Hit,23.27,1
17-Mar-17,2017,1,East,11,USC,P12,66,6,SMU,Amer,65,,1,-5,11 over 6,1.098484848,0,-1.098484848,13.45,24.73,-11.28,Miss,11.28,0
17-Mar-17,2017,1,Midwest,11,Rhode Island,A10,84,6,Creighton,BE,72,,12,-5,11 over 6,1.098484848,0,-1.098484848,16.26,18.83,-2.57,Miss,2.57,0
17-Mar-17,2017,1,South,10,Wichita St,Amer,64,7,Dayton,A10,58,,6,-3,,0.916666667,0,-0.916666667,26.14,15.57,10.57,Hit,10.57,1
17-Mar-17,2017,1,Midwest,7,Michigan,B10,92,10,Oklahoma St,B12,91,,1,3,,0.628787879,0,-0.628787879,23.05,22.48,0.57,Hit,0.57,1
17-Mar-17,2017,1,East,3,Baylor,B12,91,14,New Mexico St,WAC,73,,18,11,,0.174242424,0,-0.174242424,24.23,7.89,16.34,Hit,16.34,1
