conrinc,gunlaw,god,age,gender1
0,2,5,22,1
0,1,5,21,2
91920,2,3,42,1
0,0,3,49,1
0,0,6,70,2
0,1,5,50,1
0,0,6,35,1
0,1,6,24,2
0,1,6,28,2
24895,1,3,28,2
0,1,6,55,1
4979,0,6,36,2
0,1,1,28,2
0,1,6,59,2
12447.5,0,6,52,2
42130,1,6,35,2
42130,0,6,36,1
34470,0,6,47,2
51705,1,9,55,2
0,1,5,18,2
0,1,6,76,1
0,1,6,39,1
51705,0,6,54,1
76600,0,6,45,1
0,0,6,71,1
0,1,3,42,2
14362.5,1,5,22,2
0,1,6,50,2
0,0,5,81,2
6894,1,6,44,2
0,1,9,78,1
42130,0,6,63,2
0,0,1,73,1
51705,8,6,40,2
34470,0,6,42,2
51705,1,6,62,1
51705,1,4,52,1
34470,0,6,49,2
24895,1,3,27,2
34470,0,6,30,2
76600,1,3,29,1
0,0,1,69,2
324512.2921,0,5,51,2
324512.2921,1,6,57,2
324512.2921,1,5,44,1
0,0,5,73,2
0,1,5,73,1
324512.2921,0,2,68,1
16277.5,0,6,84,1
0,1,2,63,1
51705,1,6,57,1
76600,0,4,42,2
0,1,1,45,2
0,0,6,38,1
324512.2921,1,3,46,1
0,1,6,51,2
12447.5,1,6,41,1
0,2,2,75,2
0,1,6,81,2
0,0,6,41,2
0,1,3,67,2
0,0,6,71,2
0,2,6,35,1
34470,1,5,45,2
0,1,6,35,1
0,1,6,21,2
21065,0,3,52,2
51705,1,6,49,2
63195,0,1,46,1
18192.5,2,6,51,2
51705,1,1,28,2
0,1,6,81,2
76600,1,6,47,1
0,1,6,48,1
76600,0,5,46,2
0,0,6,68,1
18192.5,1,6,56,1
0,0,6,43,1
0,0,6,32,2
3447,1,5,23,2
0,0,2,59,1
34470,0,3,32,1
51705,1,3,44,1
107240,1,3,49,2
34470,0,1,64,2
0,1,3,30,1
18192.5,1,6,51,2
34470,1,6,28,1
0,1,6,84,1
12447.5,0,6,32,1
91920,1,6,54,2
42130,1,6,34,2
5745,0,2,33,1
0,1,5,48,2
0,0,1,52,2
3447,2,3,99,1
0,1,4,54,1
0,1,6,19,1
63195,1,3,41,1
12447.5,1,5,23,1
34470,0,6,51,1
0,1,3,75,2
0,1,4,99,2
4979,1,4,27,2
0,0,8,24,1
24895,2,6,26,1
8617.5,1,1,47,1
3447,2,6,55,2
0,0,6,55,2
63195,0,6,43,1
21065,1,6,46,2
34470,1,6,71,1
0,2,3,32,1
8617.5,1,9,63,1
10532.5,1,6,50,2
51705,0,5,60,1
0,1,3,33,2
63195,0,3,40,2
0,1,6,68,1
0,1,5,69,2
34470,0,5,71,1
4213,1,6,23,1
63195,0,2,28,1
51705,0,5,49,1
0,0,6,66,2
34470,1,6,36,2
324512.2921,1,2,53,1
18192.5,1,6,40,1
34470,0,6,34,2
14362.5,0,5,58,1
0,1,5,62,1
24895,2,6,24,1
0,0,6,72,2
34470,2,3,32,1
42130,0,6,29,1
34470,2,6,34,1
8617.5,0,6,36,2
0,1,6,74,1
51705,0,3,49,2
91920,1,2,60,1
2681,1,6,78,1
21065,0,4,39,2
0,0,2,73,1
12447.5,1,6,67,2
0,1,6,82,2
0,0,6,64,2
0,0,6,61,1
4213,1,2,22,1
0,1,6,27,1
28725,1,6,41,1
2681,0,6,33,2
0,1,6,49,2
18192.5,1,6,22,1
10532.5,0,3,42,2
1532,1,6,28,1
0,0,6,66,2
0,1,6,35,2
0,0,6,52,1
42130,2,3,63,1
34470,0,4,31,1
0,1,6,29,1
51705,1,6,50,1
51705,1,6,47,1
51705,1,5,65,2
24895,0,3,62,1
0,1,5,18,2
0,0,3,40,2
34470,1,5,28,2
0,0,5,24,1
51705,1,4,40,1
0,0,6,77,2
0,1,3,24,2
0,2,3,21,2
0,1,6,22,2
0,0,5,24,1
24895,2,6,22,1
0,0,3,21,1
0,1,6,67,1
34470,0,6,32,1
16277.5,1,3,38,2
4979,1,6,55,1
42130,1,5,40,1
91920,2,6,38,1
18192.5,1,3,52,1
3447,0,6,34,2
8617.5,0,4,22,2
76600,1,3,56,2
4979,1,6,60,2
91920,2,5,39,1
16277.5,1,6,33,2
0,0,5,67,1
63195,1,1,51,1
42130,1,5,65,1
42130,0,5,42,2
0,0,5,65,2
6894,1,6,25,1
0,0,6,36,2
0,2,6,38,2
2681,1,6,18,2
0,1,6,38,1
0,1,6,41,1
5745,1,3,20,2
51705,0,3,39,2
0,2,3,25,1
28725,0,5,57,1
4213,1,6,61,2
6894,1,6,31,1
0,2,5,62,2
28725,1,5,30,1
10532.5,1,6,68,2
24895,2,6,50,1
383,1,6,27,1
42130,1,6,30,1
0,1,6,65,1
42130,0,5,65,1
51705,1,2,36,1
0,0,6,72,1
0,1,3,27,1
16277.5,1,6,22,1
0,0,5,33,1
16277.5,8,6,35,1
0,1,4,54,2
0,2,4,18,2
0,1,5,38,2
6894,1,6,67,1
18192.5,0,5,48,1
63195,1,2,64,1
0,1,3,89,2
34470,0,6,48,2
0,1,6,44,1
91920,1,5,42,1
0,0,6,26,2
0,1,6,68,2
28725,1,6,61,2
63195,0,6,34,1
0,1,6,35,1
63195,2,6,53,2
0,1,6,32,1
0,1,6,61,1
