conrinc,gunlaw,god,gender1,age
0,2,5,1,22
0,1,5,2,21
91920,2,3,1,42
0,0,3,1,49
0,0,6,2,70
0,1,5,1,50
0,0,6,1,35
0,1,6,2,24
0,1,6,2,28
24895,1,3,2,28
0,1,6,1,55
4979,0,6,2,36
0,1,1,2,28
0,1,6,2,59
12447.5,0,6,2,52
42130,1,6,2,35
42130,0,6,1,36
34470,0,6,2,47
51705,1,9,2,55
0,1,5,2,18
0,1,6,1,76
0,1,6,1,39
51705,0,6,1,54
76600,0,6,1,45
0,0,6,1,71
0,1,3,2,42
14362.5,1,5,2,22
0,1,6,2,50
0,0,5,2,81
6894,1,6,2,44
0,1,9,1,78
42130,0,6,2,63
0,0,1,1,73
51705,8,6,2,40
34470,0,6,2,42
51705,1,6,1,62
51705,1,4,1,52
34470,0,6,2,49
24895,1,3,2,27
34470,0,6,2,30
76600,1,3,1,29
0,0,1,2,69
324512.2921,0,5,2,51
324512.2921,1,6,2,57
324512.2921,1,5,1,44
0,0,5,2,73
0,1,5,1,73
324512.2921,0,2,1,68
16277.5,0,6,1,84
0,1,2,1,63
51705,1,6,1,57
76600,0,4,2,42
0,1,1,2,45
0,0,6,1,38
324512.2921,1,3,1,46
0,1,6,2,51
12447.5,1,6,1,41
0,2,2,2,75
0,1,6,2,81
0,0,6,2,41
0,1,3,2,67
0,0,6,2,71
0,2,6,1,35
34470,1,5,2,45
0,1,6,1,35
0,1,6,2,21
21065,0,3,2,52
51705,1,6,2,49
63195,0,1,1,46
18192.5,2,6,2,51
51705,1,1,2,28
0,1,6,2,81
76600,1,6,1,47
0,1,6,1,48
76600,0,5,2,46
0,0,6,1,68
18192.5,1,6,1,56
0,0,6,1,43
0,0,6,2,32
3447,1,5,2,23
0,0,2,1,59
34470,0,3,1,32
51705,1,3,1,44
107240,1,3,2,49
34470,0,1,2,64
0,1,3,1,30
18192.5,1,6,2,51
34470,1,6,1,28
0,1,6,1,84
12447.5,0,6,1,32
91920,1,6,2,54
42130,1,6,2,34
5745,0,2,1,33
0,1,5,2,48
0,0,1,2,52
3447,2,3,1,99
0,1,4,1,54
0,1,6,1,19
63195,1,3,1,41
12447.5,1,5,1,23
34470,0,6,1,51
0,1,3,2,75
0,1,4,2,99
4979,1,4,2,27
0,0,8,1,24
24895,2,6,1,26
8617.5,1,1,1,47
3447,2,6,2,55
0,0,6,2,55
63195,0,6,1,43
21065,1,6,2,46
34470,1,6,1,71
0,2,3,1,32
8617.5,1,9,1,63
10532.5,1,6,2,50
51705,0,5,1,60
0,1,3,2,33
63195,0,3,2,40
0,1,6,1,68
0,1,5,2,69
34470,0,5,1,71
4213,1,6,1,23
63195,0,2,1,28
51705,0,5,1,49
0,0,6,2,66
34470,1,6,2,36
324512.2921,1,2,1,53
18192.5,1,6,1,40
34470,0,6,2,34
14362.5,0,5,1,58
0,1,5,1,62
24895,2,6,1,24
0,0,6,2,72
34470,2,3,1,32
42130,0,6,1,29
34470,2,6,1,34
8617.5,0,6,2,36
0,1,6,1,74
51705,0,3,2,49
91920,1,2,1,60
2681,1,6,1,78
21065,0,4,2,39
0,0,2,1,73
12447.5,1,6,2,67
0,1,6,2,82
0,0,6,2,64
0,0,6,1,61
4213,1,2,1,22
0,1,6,1,27
28725,1,6,1,41
