Index,Date,Year,Round,Region,wSeed,Winner,WConf,WScore,LSeed,Loser,LConf,LScore,OT
1,14-Mar-85,1985,64,East,4,Loyola Chicago,MVC,59,13,Iona,MAAC,58,
2,14-Mar-85,1985,64,West,9,Arkansas,SEC,63,8,Iowa,B10,54,
3,14-Mar-85,1985,64,Midwest,4,Ohio St.,B10,75,13,Iowa St.,B12,64,
4,14-Mar-85,1985,64,East,1,Georgetown,BE,68,16,Lehigh,Pat,43,
5,14-Mar-85,1985,64,Southeast,2,North Carolina,ACC,76,15,Middle Tennessee,CUSA,57,
6,14-Mar-85,1985,64,Midwest,1,Oklahoma,B12,96,16,North Carolina A&T,MEAC,83,
7,14-Mar-85,1985,64,Southeast,3,Kansas,B12,49,14,Ohio,MAC,38,
8,14-Mar-85,1985,64,East,5,SMU,Amer,85,12,Old Dominion,CUSA,68,
9,14-Mar-85,1985,64,Southeast,7,Notre Dame,ACC,79,10,Oregon St.,P12,70,
10,14-Mar-85,1985,64,Midwest,5,Louisiana Tech,CUSA,78,12,Pittsburgh,ACC,54,
11,14-Mar-85,1985,64,Southeast,11,Auburn,SEC,59,6,Purdue,B10,58,
12,14-Mar-85,1985,64,West,4,UNLV,MWC,85,13,San Diego St.,MWC,80,
13,14-Mar-85,1985,64,West,1,St. John's,BE,83,16,Southern,SWAC,59,
14,14-Mar-85,1985,64,Midwest,9,Illinois St.,MVC,58,8,USC,P12,55,
15,14-Mar-85,1985,64,East,8,Temple,Amer,60,9,Virginia Tech,ACC,57,
16,14-Mar-85,1985,64,West,12,Kentucky,SEC,66,5,Washington,P12,58,
17,15-Mar-85,1985,64,West,7,Alabama,SEC,50,10,Arizona,P12,41,
18,15-Mar-85,1985,64,Southeast,8,Villanova,BE,51,9,Dayton,A10,49,
19,15-Mar-85,1985,64,East,7,Syracuse,ACC,70,10,DePaul,BE,65,
20,15-Mar-85,1985,64,Southeast,1,Michigan,B10,59,16,Fairleigh Dickinson,NEC,55,
21,15-Mar-85,1985,64,Southeast,13,Navy,Pat,78,4,LSU,SEC,55,
22,15-Mar-85,1985,64,West,2,VCU,A10,81,15,Marshall,CUSA,65,
23,15-Mar-85,1985,64,East,2,Georgia Tech,ACC,65,15,Mercer,SC,58,
24,15-Mar-85,1985,64,Southeast,5,Maryland,B10,69,12,Miami OH,MAC,68,1 OT
25,15-Mar-85,1985,64,Midwest,7,UAB,CUSA,70,10,Michigan St.,B10,68,
26,15-Mar-85,1985,64,West,3,North Carolina St.,ACC,65,14,Nevada,MWC,56,
27,15-Mar-85,1985,64,East,3,Illinois,B10,76,14,Northeastern,CAA,57,
28,15-Mar-85,1985,64,Midwest,2,Memphis,Amer,67,15,Penn,Ivy,55,
29,15-Mar-85,1985,64,Midwest,3,Duke,ACC,75,14,Pepperdine,WCC,62,
30,15-Mar-85,1985,64,Midwest,11,Boston College,ACC,55,6,Texas Tech,B12,53,
31,15-Mar-85,1985,64,West,11,UTEP,CUSA,79,6,Tulsa,Amer,75,
32,15-Mar-85,1985,64,East,6,Georgia,SEC,67,11,Wichita St.,MVC,59,
33,16-Mar-85,1985,32,West,1,St. John's,BE,68,9,Arkansas,SEC,65,
34,16-Mar-85,1985,32,Midwest,1,Oklahoma,B12,75,9,Illinois St.,MVC,69,
35,16-Mar-85,1985,32,Southeast,11,Auburn,SEC,66,3,Kansas,B12,64,
36,16-Mar-85,1985,32,Southeast,2,North Carolina,ACC,60,7,Notre Dame,ACC,58,
37,16-Mar-85,1985,32,Midwest,5,Louisiana Tech,CUSA,79,4,Ohio St.,B10,67,
