Date,Year,Round,Region,wSeed,Winner,WScore,LSeed,Loser,LScore,OT
14-Mar-85,1985,64,East,1,Georgetown,68,16,Lehigh,43,
14-Mar-85,1985,64,East,4,Loyola Chicago,59,13,Iona,58,
14-Mar-85,1985,64,East,5,SMU,85,12,Old Dominion,68,
14-Mar-85,1985,64,East,8,Temple,60,9,Virginia Tech,57,
14-Mar-85,1985,64,Midwest,1,Oklahoma,96,16,North Carolina A&T,83,
14-Mar-85,1985,64,Midwest,4,Ohio St.,75,13,Iowa St.,64,
14-Mar-85,1985,64,Midwest,5,Louisiana Tech,78,12,Pittsburgh,54,
14-Mar-91,1991,64,East,15,Richmond,73,2,Syracuse,69,
14-Mar-85,1985,64,Southeast,2,North Carolina,76,15,Middle Tennessee,57,
14-Mar-85,1985,64,Southeast,3,Kansas,49,14,Ohio,38,
14-Mar-85,1985,64,Southeast,7,Notre Dame,79,10,Oregon St.,70,
18-Mar-93,1993,64,West,15,Santa Clara,64,2,Arizona,61,
14-Mar-85,1985,64,West,1,St. John's,83,16,Southern,59,
14-Mar-85,1985,64,West,4,UNLV,85,13,San Diego St.,80,
14-Mar-97,1997,64,East,15,Coppin St.,78,2,South Carolina,65,
15-Mar-01,2001,64,West,15,Hampton,58,2,Iowa St.,57,
15-Mar-85,1985,64,East,2,Georgia Tech,65,15,Mercer,58,
15-Mar-85,1985,64,East,3,Illinois,76,14,Northeastern,57,
15-Mar-85,1985,64,East,6,Georgia,67,11,Wichita St.,59,
15-Mar-85,1985,64,East,7,Syracuse,70,10,DePaul,65,
15-Mar-85,1985,64,Midwest,2,Memphis,67,15,Penn,55,
15-Mar-85,1985,64,Midwest,3,Duke,75,14,Pepperdine,62,
15-Mar-85,1985,64,Midwest,7,UAB,70,10,Michigan St.,68,
16-Mar-12,2012,64,South,15,Lehigh,75,2,Duke,70,
15-Mar-85,1985,64,Southeast,1,Michigan,59,16,Fairleigh Dickinson,55,
15-Mar-85,1985,64,Southeast,5,Maryland,69,12,Miami OH,68,1 OT
15-Mar-85,1985,64,Southeast,8,Villanova,51,9,Dayton,49,
16-Mar-12,2012,64,West,15,Norfolk St.,86,2,Missouri,84,
15-Mar-85,1985,64,West,2,VCU,81,15,Marshall,65,
15-Mar-85,1985,64,West,3,North Carolina St.,65,14,Nevada,56,
15-Mar-85,1985,64,West,7,Alabama,50,10,Arizona,41,
22-Mar-13,2013,64,South,15,Florida Gulf Coast,78,2,Georgetown,68,
16-Mar-85,1985,32,East,1,Georgetown,63,8,Temple,46,
16-Mar-85,1985,32,East,4,Loyola Chicago,70,5,SMU,57,
16-Mar-85,1985,32,Midwest,1,Oklahoma,75,9,Illinois St.,69,
18-Mar-16,2016,64,Midwest,15,Middle Tennessee,90,2,Michigan St.,81,
16-Mar-85,1985,32,Southeast,2,North Carolina,60,7,Notre Dame,58,
14-Mar-86,1986,64,East,14,Cleveland St.,83,3,Indiana,79,
16-Mar-85,1985,32,West,1,St. John's,68,9,Arkansas,65,
14-Mar-86,1986,64,Midwest,14,Arkansas Little Rock,90,3,Notre Dame,83,
17-Mar-85,1985,32,East,2,Georgia Tech,70,7,Syracuse,53,
17-Mar-85,1985,32,East,3,Illinois,74,6,Georgia,58,
17-Mar-85,1985,32,Midwest,2,Memphis,67,7,UAB,66,1 OT
12-Mar-87,1987,64,Southeast,14,Austin Peay,68,3,Illinois,67,
17-Mar-85,1985,32,Southeast,5,Maryland,64,13,Navy,59,
18-Mar-88,1988,64,Midwest,14,Murray St.,78,3,North Carolina St.,75,
17-Mar-85,1985,32,West,3,North Carolina St.,86,11,UTEP,73,
16-Mar-89,1989,64,East,14,Siena,80,3,Stanford,78,
21-Mar-85,1985,16,East,1,Georgetown,65,4,Loyola Chicago,53,
21-Mar-85,1985,16,East,2,Georgia Tech,61,3,Illinois,53,
21-Mar-85,1985,16,Midwest,1,Oklahoma,86,5,Louisiana Tech,84,1 OT
21-Mar-85,1985,16,Midwest,2,Memphis,59,11,Boston College,57,
22-Mar-85,1985,16,Southeast,2,North Carolina,62,11,Auburn,56,
16-Mar-90,1990,64,Southeast,14,Northern Iowa,74,3,Missouri,71,
22-Mar-85,1985,16,West,1,St. John's,86,12,Kentucky,70,
22-Mar-85,1985,16,West,3,North Carolina St.,61,7,Alabama,55,
23-Mar-85,1985,8,East,1,Georgetown,60,2,Georgia Tech,54,
14-Mar-91,1991,64,Midwest,14,Xavier,89,3,Nebraska,84,
20-Mar-92,1992,64,Southeast,14,East Tennessee St.,87,3,Arizona,80,
24-Mar-85,1985,8,West,1,St. John's,69,3,North Carolina St.,60,
30-Mar-85,1985,4,Final Four,1,Georgetown,77,1,St. John's,59,
17-Mar-95,1995,64,East,14,Old Dominion,89,3,Villanova,81,3 OT
17-Mar-95,1995,64,Southeast,14,Weber St.,79,3,Michigan St.,72,
13-Mar-86,1986,64,East,1,Duke,85,16,Mississippi Valley,78,
13-Mar-86,1986,64,East,4,Oklahoma,80,13,Northeastern,74,
13-Mar-86,1986,64,East,8,Old Dominion,72,9,West Virginia,64,
14-Mar-97,1997,64,Southeast,14,Chattanooga,73,3,Georgia,70,
13-Mar-86,1986,64,Midwest,1,Kansas,71,16,North Carolina A&T,46,
13-Mar-86,1986,64,Midwest,4,Georgetown,70,13,Texas Tech,64,
13-Mar-86,1986,64,Midwest,5,Michigan St.,72,12,Washington,70,
12-Mar-98,1998,64,East,14,Richmond,62,3,South Carolina,61,
13-Mar-86,1986,64,Southeast,2,Georgia Tech,68,15,Marist,53,
13-Mar-86,1986,64,Southeast,3,Memphis,95,14,Ball St.,63,
11-Mar-99,1999,64,West,14,Weber St.,76,3,North Carolina,74,
18-Mar-05,2005,64,East,14,Bucknell,64,3,Kansas,63,
13-Mar-86,1986,64,West,2,Louisville,93,15,Drexel,73,
13-Mar-86,1986,64,West,3,North Carolina,84,14,Utah,72,
13-Mar-86,1986,64,West,6,UAB,66,11,Missouri,64,
13-Mar-86,1986,64,West,7,Bradley,83,10,UTEP,65,
14-Mar-86,1986,64,East,2,Syracuse,101,15,Brown,52,
14-Mar-86,1986,64,East,6,Saint Joseph's,60,11,Richmond,59,
14-Mar-86,1986,64,East,7,Navy,87,10,Tulsa,68,
17-Mar-06,2006,64,South,14,Northwestern St.,64,3,Iowa,63,
14-Mar-86,1986,64,Midwest,2,Michigan,70,15,Akron,64,
14-Mar-86,1986,64,Midwest,6,North Carolina St.,66,11,Iowa,64,
14-Mar-86,1986,64,Midwest,7,Iowa St.,81,10,Miami OH,79,1 OT
18-Mar-10,2010,64,Midwest,14,Ohio,97,3,Georgetown,83,
14-Mar-86,1986,64,Southeast,1,Kentucky,75,16,Davidson,55,
14-Mar-86,1986,64,Southeast,4,Illinois,75,13,Fairfield,51,
14-Mar-86,1986,64,Southeast,5,Alabama,97,12,Xavier,80,
14-Mar-86,1986,64,Southeast,8,Western Kentucky,67,9,Nebraska,59,
14-Mar-86,1986,64,West,1,St. John's,83,16,Montana St.,74,
14-Mar-86,1986,64,West,4,UNLV,74,13,Louisiana Monroe,51,
14-Mar-86,1986,64,West,5,Maryland,69,12,Pepperdine,64,
14-Mar-86,1986,64,West,8,Auburn,73,9,Arizona,63,
15-Mar-86,1986,32,East,1,Duke,89,8,Old Dominion,61,
21-Mar-13,2013,64,West,14,Harvard,68,3,New Mexico,62,
15-Mar-86,1986,32,Midwest,1,Kansas,65,9,Temple,43,
21-Mar-14,2014,64,Midwest,14,Mercer,78,3,Duke,71,
15-Mar-86,1986,32,Southeast,2,Georgia Tech,66,10,Villanova,61,
19-Mar-15,2015,64,South,14,UAB,60,3,Iowa St.,59,
15-Mar-86,1986,32,West,2,Louisville,82,7,Bradley,68,
15-Mar-86,1986,32,West,3,North Carolina,77,6,UAB,59,
19-Mar-15,2015,64,West,14,Georgia St.,57,3,Baylor,56,
18-Mar-16,2016,64,East,14,Stephen F. Austin,70,3,West Virginia,56,
16-Mar-86,1986,32,Midwest,6,North Carolina St.,80,14,Arkansas Little Rock,66,2 OT
22-Mar-86,1986,8,Southeast,11,LSU,59,1,Kentucky,57,
16-Mar-86,1986,32,Southeast,1,Kentucky,71,8,Western Kentucky,64,
26-Mar-06,2006,8,East,11,George Mason,86,1,Connecticut,84,1 OT
16-Mar-86,1986,32,West,4,UNLV,70,5,Maryland,64,
