,Student ID,Duration,2017 Fall Math 221 Unit 1 Exam,Duration,2017 Fall Math 221 Exam 2,Duration,2017 Fall Math 221 Exam 3,Duration,2017 Fall Math 221 Exam 4,Total
Total Points,,,,,,,,,,
,,  35 min ,36, 1 hrs  ,39,  44 min ,39.58,  42 min ,38.71,153.29
,, 1 hrs 46 min ,23, 2 hrs 10 min ,27.33,  52 min ,34.67,  57 min ,31.04,116.04
,, 1 hrs 26 min ,33, 1 hrs 37 min ,32.67, 1 hrs 43 min ,37.67, 1 hrs 49 min ,40.83,144.17
,,  26 min ,31,  46 min ,28.83,  39 min ,32.67,  40 min ,32.92,125.42
,,  41 min ,33, 1 hrs 7 min ,36, 1 hrs 25 min ,33.83, 1 hrs 6 min ,39.83,142.67
,, 1 hrs 49 min ,37, 2 hrs 4 min ,36.67, 1 hrs 54 min ,39.5, 1 hrs 58 min ,39.12,152.29
,,  56 min ,30, 1 hrs 16 min ,29,  52 min ,28.67, 1 hrs 5 min ,30.62,118.29
,, 1 hrs  ,23, 1 hrs 14 min ,26.5,  56 min ,33.67, 16 hrs 25 min ,19.25,102.42
,,  38 min ,33, 1 hrs  ,35,  50 min ,35.67, 1 hrs 7 min ,38.21,141.88
,,  39 min ,38,  45 min ,35.33,  46 min ,38.33,  37 min ,39.5,151.17
,,  50 min ,31, 1 hrs 5 min ,23.58,  45 min ,33.83,  55 min ,32.88,121.29
,,  27 min ,25,  43 min ,27.5,  38 min ,28.08,  38 min ,25.79,106.38
,,  42 min ,34, 1 hrs 7 min ,33.33,  58 min ,34.33, 1 hrs 6 min ,34.67,136.33
,,  36 min ,38,  49 min ,35,  51 min ,39.83, 1 hrs 8 min ,41.33,154.17
,,  26 min ,31,  33 min ,32.58,  43 min ,34.5,  43 min ,32,130.08
,, 1 hrs 5 min ,33, 1 hrs 7 min ,31.67, 1 hrs 18 min ,32.75,  59 min ,40.17,137.58
,,  56 min ,31, 1 hrs 9 min ,34,  47 min ,30.83, 1 hrs 10 min ,36.67,132.5
,,  51 min ,30, 1 hrs  ,23.5, 1 hrs 6 min ,24.67, 1 hrs 21 min ,31.83,110
