,Student ID,Duration,2017 Fall Math 221 Unit 1 Exam,Duration,2017 Fall Math 221 Exam 2,Duration,2017 Fall Math 221 Exam 3,Duration,2017 Fall Math 221 Exam 4,,,,,
Total Points,,,,,,,,,,,,,Min,Score
,,  35 min ,36, 1 hrs  ,39,  44 min ,39.58,  42 min ,38.71,,0,35,35,94.73684211
,, 1 hrs 46 min ,23, 2 hrs 10 min ,27.33,  52 min ,34.67,  57 min ,31.04,,1,46,106,60.52631579
,, 1 hrs 26 min ,33, 1 hrs 37 min ,32.67, 1 hrs 43 min ,37.67, 1 hrs 49 min ,40.83,,1,26,86,86.84210526
,,  26 min ,31,  46 min ,28.83,  39 min ,32.67,  40 min ,32.92,,0,26,26,81.57894737
,,  41 min ,33, 1 hrs 7 min ,36, 1 hrs 25 min ,33.83, 1 hrs 6 min ,39.83,,0,41,41,86.84210526
,, 1 hrs 49 min ,37, 2 hrs 4 min ,36.67, 1 hrs 54 min ,39.5, 1 hrs 58 min ,39.12,,1,49,109,97.36842105
,,  56 min ,30, 1 hrs 16 min ,29,  52 min ,28.67, 1 hrs 5 min ,30.62,,0,56,56,78.94736842
,, 1 hrs  ,23, 1 hrs 14 min ,26.5,  56 min ,33.67, 16 hrs 25 min ,19.25,,1,0,60,60.52631579
,,  38 min ,33, 1 hrs  ,35,  50 min ,35.67, 1 hrs 7 min ,38.21,,0,38,38,86.84210526
,,  39 min ,38,  45 min ,35.33,  46 min ,38.33,  37 min ,39.5,,0,39,39,100
,,  50 min ,31, 1 hrs 5 min ,23.58,  45 min ,33.83,  55 min ,32.88,,0,50,50,81.57894737
,,  27 min ,25,  43 min ,27.5,  38 min ,28.08,  38 min ,25.79,,0,27,27,65.78947368
,,  42 min ,34, 1 hrs 7 min ,33.33,  58 min ,34.33, 1 hrs 6 min ,34.67,,0,42,42,89.47368421
,,  36 min ,38,  49 min ,35,  51 min ,39.83, 1 hrs 8 min ,41.33,,0,36,36,100
,,  26 min ,31,  33 min ,32.58,  43 min ,34.5,  43 min ,32,,0,26,26,81.57894737
,, 1 hrs 5 min ,33, 1 hrs 7 min ,31.67, 1 hrs 18 min ,32.75,  59 min ,40.17,,1,5,65,86.84210526
,,  56 min ,31, 1 hrs 9 min ,34,  47 min ,30.83, 1 hrs 10 min ,36.67,,0,56,56,81.57894737
,,  51 min ,30, 1 hrs  ,23.5, 1 hrs 6 min ,24.67, 1 hrs 21 min ,31.83,,0,51,51,78.94736842
,,  37 min ,29,  57 min ,31, 12 hrs 24 min ,31.67, 1 hrs 3 min ,31.21,,0,37,37,76.31578947
,,  54 min ,29, 1 hrs 47 min ,31.92, 1 hrs 1 min ,34.33, 1 hrs 6 min ,35.71,,0,54,54,76.31578947
,,  37 min ,32,  38 min ,33.5,  51 min ,31.5,  43 min ,31.21,,0,37,37,84.21052632
,, 1 hrs  ,38, 1 hrs 28 min ,35,  56 min ,35.5, 1 hrs 51 min ,41.71,,1,0,60,100
,,  49 min ,30,  49 min ,30.33,  50 min ,34.17,  25 min ,38.5,,0,49,49,78.94736842
,,  32 min ,28,  37 min ,34,  43 min ,29.83,  30 min ,34.54,,0,32,32,73.68421053
,,  57 min ,35, 1 hrs 9 min ,30.17,  59 min ,32.83,  56 min ,36.33,,0,57,57,92.10526316
,,  58 min ,34,  42 min ,32.67,  54 min ,34.83,  33 min ,35,,0,58,58,89.47368421
,,  56 min ,27, 1 hrs 54 min ,28.58, 1 hrs 38 min ,21.58, 1 hrs 56 min ,40,,0,56,56,71.05263158
,,  43 min ,32,  50 min ,34,  54 min ,32.17, 1 hrs  ,37.25,,0,43,43,84.21052632
,,  38 min ,23,  34 min ,22.67,  36 min ,25.83,  31 min ,26,,0,38,38,60.52631579
,,  35 min ,30, 1 hrs 6 min ,31.33, 1 hrs 3 min ,32, 1 hrs 4 min ,35.54,,0,35,35,78.94736842
,,  48 min ,30, 1 hrs 1 min ,28,  54 min ,16.17, 1 hrs 21 min ,19.96,,0,48,48,78.94736842
,,  37 min ,23.5,  45 min ,26.75,  51 min ,26.67,  35 min ,27.75,,0,37,37,61.84210526
,, 2 hrs 12 min ,27,  49 min ,38.17, 1 hrs 52 min ,34.58, 2 hrs 26 min ,35.21,,2,12,132,71.05263158
,,  30 min ,38,  44 min ,33.67,  47 min ,37.33,  39 min ,41.33,,0,30,30,100
,,  57 min ,32, 1 hrs 12 min ,35.33, 1 hrs 10 min ,28.08, 1 hrs  ,38.92,,0,57,57,84.21052632
,,  40 min ,30, 1 hrs 1 min ,27.58,  40 min ,28.92,  52 min ,28.88,,0,40,40,78.94736842
,,  44 min ,30,  56 min ,22.58,  51 min ,28.67,  47 min ,32.54,,0,44,44,78.94736842
,,  53 min ,37, 1 hrs 9 min ,37, 1 hrs 21 min ,36.83, 1 hrs 40 min ,42.04,,0,53,53,97.36842105
,,  25 min ,37,  56 min ,34.33,  47 min ,36.33, 1 hrs 4 min ,38.38,,0,25,25,97.36842105
,,  46 min ,32,  58 min ,26.83,  37 min ,23.92,  44 min ,23.17,,0,46,46,84.21052632
,,  51 min ,30,  40 min ,25, 1 hrs 5 min ,27.33,  50 min ,30.08,,0,51,51,78.94736842
,,  45 min ,35, 1 hrs 5 min ,39.25,  55 min ,38.5,  45 min ,44,,0,45,45,92.10526316
,,  47 min ,32, 1 hrs 10 min ,30.67, 1 hrs 4 min ,33, 1 hrs 15 min ,34,,0,47,47,84.21052632
