When,Score,Percent
49.93333333,36,0.947368421
76.73333333,23,0.605263158
76.13333333,33,0.868421053
22.9,31,0.815789474
47.38333333,33,0.868421053
78.83333333,37,0.973684211
76.26666667,30,0.789473684
58.33333333,23,0.605263158
25.53333333,33,0.868421053
48.23333333,38,1
29.48333333,31,0.815789474
48.88333333,25,0.657894737
49.83333333,34,0.894736842
49.83333333,38,1
50.58333333,31,0.815789474
57.75,33,0.868421053
52.86666667,31,0.815789474
25.21666667,30,0.789473684
53.55,29,0.763157895
82.7,28.5,0.75
25.9,29,0.763157895
30,32,0.842105263
57.16666667,38,1
71.91666667,30,0.789473684
52.25,28,0.736842105
75.93333333,35,0.921052632
56.16666667,34,0.894736842
72.18333333,27,0.710526316
83,32,0.842105263
77.18333333,23,0.605263158
53.43333333,30,0.789473684
77.56666667,30,0.789473684
51.76666667,23.5,0.618421053
81.45,27,0.710526316
33.86666667,38,1
58.48333333,32,0.842105263
29.48333333,30,0.789473684
55.8,30,0.789473684
24.16666667,37,0.973684211
49.15,23,0.605263158
24.35,37,0.973684211
75.6,33,0.868421053
56.71666667,32,0.842105263
51.8,30,0.789473684
50.55,35,0.921052632
74.86666667,32,0.842105263
75.61666667,34,0.894736842
58.23333333,27.5,0.723684211
50.58333333,35,0.921052632
2.95,37,0.973684211
47.95,34,0.894736842
53.6,18,0.473684211
50.85,31,0.815789474
54.36666667,35,0.921052632
57.65,27,0.710526316
29.81666667,35,0.921052632
55.36666667,25,0.657894737
58.03333333,36,0.947368421
82.51666667,24,0.631578947
57.7,28,0.736842105
55.63333333,33,0.868421053
46.61666667,35,0.921052632
49.93333333,36,0.947368421
58.35,30,0.789473684
51.86666667,34,0.894736842
51.46666667,30,0.789473684
57.48333333,36,0.947368421
52.53333333,35,0.921052632
50.88333333,35,0.921052632
54.88333333,35,0.921052632
23.15,31,0.815789474
3.21666667,35,0.921052632
31.3,33,0.868421053
54.28333333,35,0.921052632
52.5,36,0.947368421
51.16666667,34,0.894736842
25.61666667,27.5,0.723684211
0.2,38,1
30.11666667,28,0.736842105
79.95,26,0.684210526
23.83333333,33,0.868421053
29.83333333,32,0.842105263
52.01666667,20,0.526315789
52.71666667,28,0.736842105
58.5,30,0.789473684
34.25,21,0.552631579
34.51666667,28,0.736842105
75.36666667,36,0.947368421
58.31666667,34,0.894736842
55.83333333,26,0.684210526
77.65,32,0.842105263
80.15,28,0.736842105
70.61666667,26,0.684210526
78.18333333,22,0.578947368
75.55,35,0.921052632
56.75,37,0.973684211
49.8,31,0.815789474
33.61666667,36,0.947368421
56.23333333,30,0.789473684
78.93333333,29,0.763157895
58.71666667,37,0.973684211
52.5,36,0.947368421
25.58333333,36,0.947368421
75.86666667,32,0.842105263
49.45,32.5,0.855263158
33.68333333,24,0.631578947
50.86666667,29,0.763157895
56.36666667,36,0.947368421
82.16666667,33,0.868421053
81.66666667,12,0.315789474
32.65,33,0.868421053
77.51666667,26,0.684210526
26.6,23,0.605263158
30.41666667,34,0.894736842
23.15,33,0.868421053
3.78333333,31.5,0.828947368
76.31666667,32,0.842105263
48.18333333,38,1
30.4,30,0.789473684
29.78333333,32,0.842105263
23.81666667,38,1
55.05,32,0.842105263
75.36666667,22,0.578947368
33.78333333,32,0.842105263
54.88333333,27,0.710526316
56.96666667,33,0.868421053
54.15,28,0.736842105
57.28333333,32,0.842105263
29.5,33,0.868421053
50.56666667,32,0.842105263
32.11666667,25,0.657894737
50.3,33,0.868421053
31.23333333,27,0.710526316
50.75,35.5,0.934210526
29.81666667,35,0.921052632
33.26666667,38,1
78.5,30,0.789473684
55.78333333,35,0.921052632
82.86666667,25,0.657894737
75.61666667,28,0.736842105
70.95,35,0.921052632
80.7,28,0.736842105
24.43333333,34,0.894736842
50.7,28,0.736842105
25.35,35,0.921052632
50.71666667,29,0.763157895
4.86666667,33,0.868421053
54.91666667,27,0.710526316
23.51666667,36,0.947368421
75.63333333,32,0.842105263
