"","X","year","released","name","company","country","rating","genre","budget","gross","Budget2017","Gross2017","Profit2017","runtime","votes","score","director","star","writer"
"1",1,1986,"1986-08-22","Stand by Me","Columbia Pictures Corporation","USA","R","Adventure",8,52.287414,17.68,115.55518494,97.87518494,89,299174,8.1,"Rob Reiner","Wil Wheaton","Stephen King"
"2",2,1986,"1986-06-11","Ferris Bueller's Day Off","Paramount Pictures","USA","PG-13","Comedy",6,70.136369,13.26,155.00137549,141.74137549,103,264740,7.8,"John Hughes","Matthew Broderick","John Hughes"
"3",3,1986,"1986-05-16","Top Gun","Paramount Pictures","USA","PG","Action",15,179.800601,33.15,397.35932821,364.20932821,110,236909,6.9,"Tony Scott","Tom Cruise","Jim Cash"
"4",4,1986,"1986-07-18","Aliens","Twentieth Century Fox Film Corporation","USA","R","Action",18.5,85.160248,40.885,188.20414808,147.31914808,137,540152,8.4,"James Cameron","Sigourney Weaver","James Cameron"
"5",5,1986,"1986-08-01","Flight of the Navigator","Walt Disney Pictures","USA","PG","Adventure",9,18.564613,19.89,41.02779473,21.13779473,90,36636,6.9,"Randal Kleiser","Joey Cramer","Mark H. Baker"
"6",6,1986,"1987-02-06","Platoon","Hemdale","UK","R","Drama",6,138.530565,13.26,306.15254865,292.89254865,120,317585,8.1,"Oliver Stone","Charlie Sheen","Oliver Stone"
"7",7,1986,"1986-06-27","Labyrinth","Henson Associates (HA)","UK","PG","Adventure",25,12.729917,55.25,28.13311657,-27.11688343,101,102879,7.4,"Jim Henson","David Bowie","Dennis Lee"
"8",8,1986,"1986-10-23","Blue Velvet","De Laurentiis Entertainment Group (DEG)","USA","R","Drama",6,8.551228,13.26,18.89821388,5.63821388,120,146768,7.8,"David Lynch","Isabella Rossellini","David Lynch"
"9",9,1986,"1986-02-28","Pretty in Pink","Paramount Pictures","USA","PG-13","Comedy",9,40.471663,19.89,89.44237523,69.55237523,96,60565,6.8,"Howard Deutch","Molly Ringwald","John Hughes"
"10",10,1986,"1986-08-15","The Fly","SLM Production Group","USA","R","Drama",15,40.456565,33.15,89.40900865,56.25900865,96,129698,7.5,"David Cronenberg","Jeff Goldblum","George Langelaan"
"11",11,1986,"1986-09-26","Crocodile Dundee","Rimfire Films","Australia","PG-13","Adventure",8.8,174.635,19.448,385.94335,366.49535,97,79465,6.5,"Peter Faiman","Paul Hogan","Ken Shadie"
"12",12,1986,"1986-03-07","Highlander","Thorn EMI Screen Entertainment","UK","R","Action",16,5.9,35.36,13.039,-22.321,116,104860,7.2,"Russell Mulcahy","Christopher Lambert","Gregory Widen"
"13",13,1986,"1986-03-28","Lucas","Twentieth Century Fox Film Corporation","USA","PG-13","Comedy",6,8.2,13.26,18.122,4.862,100,12228,6.8,"David Seltzer","Corey Haim","David Seltzer"
"14",14,1986,"1986-07-02","Big Trouble in Little China","Twentieth Century Fox Film Corporation","USA","PG-13","Action",25,11.1,55.25,24.531,-30.719,99,101678,7.3,"John Carpenter","Kurt Russell","Gary Goldman"
"15",15,1986,"1986-08-15","Manhunter","De Laurentiis Entertainment Group (DEG)","USA","R","Crime",15,8.620929,33.15,19.05225309,-14.09774691,120,54000,7.2,"Michael Mann","William Petersen","Thomas Harris"
"16",16,1986,"1986-02-21","9½ Weeks","Producers Sales Organization (PSO)","USA","R","Drama",17,6.734844,37.57,14.88400524,-22.68599476,117,31798,5.9,"Adrian Lyne","Mickey Rourke","Elizabeth McNeill"
"17",17,1986,"1986-07-25","Maximum Overdrive","De Laurentiis Entertainment Group (DEG)","USA","R","Action",10,7.433663,22.1,16.42839523,-5.67160477,98,24881,5.4,"Stephen King","Emilio Estevez","Stephen King"
"18",18,1986,"1986-12-19","Little Shop of Horrors","Geffen Company, The","USA","PG-13","Comedy",25,38.747385,55.25,85.63172085,30.38172085,94,53327,6.9,"Frank Oz","Rick Moranis","Howard Ashman"
"19",19,1986,"1986-11-21","The Wraith","New Century Entertainment Corporation","USA","PG-13","Action",2.7,3.5,5.967,7.735,1.768,93,11635,5.9,"Mike Marvin","Charlie Sheen","Mike Marvin"
