Gender,Age,MTW,Female,MT
Female,57,Yes,1,1
Female,74,Yes,1,1
Male,55,Yes,0,1
Female,77,Yes,1,1
Male,68,No,0,0
Female,60,Yes,1,1
Male,73,Yes,0,1
Female,71,Yes,1,1
Female,75,Yes,1,1
Female,70,Yes,1,1
Female,76,Yes,1,1
Female,71,Yes,1,1
Female,76,Yes,1,1
Male,64,No,0,0
Male,93,Yes,0,1
Male,88,No,0,0
Male,78,Yes,0,1
Female,87,No,1,0
Female,74,Yes,1,1
Female,69,Yes,1,1
Male,52,Yes,0,1
Female,49,Yes,1,1
Male,64,No,0,0
Female,71,No,1,0
Female,89,No,1,0
Male,64,Yes,0,1
Female,62,Yes,1,1
Male,88,No,0,0
Female,73,Yes,1,1
Male,76,Yes,0,1
Male,55,Yes,0,1
Male,81,No,0,0
Male,75,Yes,0,1
Male,74,Yes,0,1
Male,35,Yes,0,1
Female,57,No,1,0
Female,67,Yes,1,1
Female,73,Yes,1,1
Female,79,Yes,1,1
Male,51,Yes,0,1
Female,76,Yes,1,1
Male,53,No,0,0
Male,75,No,0,0
Female,75,Yes,1,1
Female,64,Yes,1,1
Female,42,Yes,1,1
Female,64,No,1,0
Male,60,Yes,0,1
Female,70,Yes,1,1
Female,78,Yes,1,1
Male,60,Yes,0,1
Female,81,Yes,1,1
Female,56,Yes,1,1
Female,69,Yes,1,1
Female,21,No,1,0
Male,60,No,0,0
Female,63,Yes,1,1
Female,54,Yes,1,1
Female,75,No,1,0
Female,70,Yes,1,1
Female,80,Yes,1,1
Female,68,No,1,0
Male,39,No,0,0
Female,71,No,1,0
Female,79,Yes,1,1
Male,75,No,0,0
Female,60,Yes,1,1
Female,58,Yes,1,1
Female,42,Yes,1,1
Female,72,Yes,1,1
Female,61,No,1,0
Female,76,No,1,0
Female,35,Yes,1,1
Female,43,Yes,1,1
Female,45,Yes,1,1
Female,70,No,1,0
Female,95,Yes,1,1
Male,60,No,0,0
Male,71,Yes,0,1
Female,35,Yes,1,1
Male,64,No,0,0
Male,38,No,0,0
Female,30,Yes,1,1
Female,50,Yes,1,1
Male,50,No,0,0
Female,38,No,1,0
Female,49,No,1,0
Male,32,Yes,0,1
Male,80,Yes,0,1
Female,63,Yes,1,1
Female,39,Yes,1,1
Female,44,Yes,1,1
Female,25,Yes,1,1
Male,48,No,0,0
Female,64,No,1,0
Male,46,Yes,0,1
Female,60,Yes,1,1
Female,42,Yes,1,1
Female,69,No,1,0
Female,61,Yes,1,1
Female,21,Yes,1,1
Female,54,No,1,0
Female,28,Yes,1,1
Female,38,Yes,1,1
