Index,Date,Year,Round,Region,wSeed,Winner,WConf,WScore,LSeed,Loser,LConf,LScore,OT,SeD,ScD,Upset
1,14-Mar-85,1985,64,East,4,Loyola Chicago,MVC,59,13,Iona,MAAC,58,,-9,1,4 over 13
2,14-Mar-85,1985,64,West,9,Arkansas,SEC,63,8,Iowa,B10,54,,1,9,9 over 8
3,14-Mar-85,1985,64,Midwest,4,Ohio St.,B10,75,13,Iowa St.,B12,64,,-9,11,4 over 13
4,14-Mar-85,1985,64,East,1,Georgetown,BE,68,16,Lehigh,Pat,43,,-15,25,1 over 16
5,14-Mar-85,1985,64,Southeast,2,North Carolina,ACC,76,15,Middle Tennessee,CUSA,57,,-13,19,2 over 15
6,14-Mar-85,1985,64,Midwest,1,Oklahoma,B12,96,16,North Carolina A&T,MEAC,83,,-15,13,1 over 16
7,14-Mar-85,1985,64,Southeast,3,Kansas,B12,49,14,Ohio,MAC,38,,-11,11,3 over 14
8,14-Mar-85,1985,64,East,5,SMU,Amer,85,12,Old Dominion,CUSA,68,,-7,17,5 over 12
9,14-Mar-85,1985,64,Southeast,7,Notre Dame,ACC,79,10,Oregon St.,P12,70,,-3,9,7 over 10
10,14-Mar-85,1985,64,Midwest,5,Louisiana Tech,CUSA,78,12,Pittsburgh,ACC,54,,-7,24,5 over 12
11,14-Mar-85,1985,64,Southeast,11,Auburn,SEC,59,6,Purdue,B10,58,,5,1,11 over 6
12,14-Mar-85,1985,64,West,4,UNLV,MWC,85,13,San Diego St.,MWC,80,,-9,5,4 over 13
13,14-Mar-85,1985,64,West,1,St. John's,BE,83,16,Southern,SWAC,59,,-15,24,1 over 16
14,14-Mar-85,1985,64,Midwest,9,Illinois St.,MVC,58,8,USC,P12,55,,1,3,9 over 8
15,14-Mar-85,1985,64,East,8,Temple,Amer,60,9,Virginia Tech,ACC,57,,-1,3,8 over 9
16,14-Mar-85,1985,64,West,12,Kentucky,SEC,66,5,Washington,P12,58,,7,8,12 over 5
17,15-Mar-85,1985,64,West,7,Alabama,SEC,50,10,Arizona,P12,41,,-3,9,7 over 10
18,15-Mar-85,1985,64,Southeast,8,Villanova,BE,51,9,Dayton,A10,49,,-1,2,8 over 9
