"","year","budget","company","country","director","genre","gross","name","rating","released","runtime","score","star","votes","writer","Factor","Dollar","Equivalent","Newbudget","Newgross"
"1",1986,8e+06,"Columbia Pictures Corporation","USA","Rob Reiner","Adventure",52287414,"Stand by Me","R","1986-08-22",89,8.1,"Wil Wheaton",299174,"Stephen King",2.21,"$1,093.00 ","$2,414.32 ",17680000,115555184.94
"2",1986,6e+06,"Paramount Pictures","USA","John Hughes","Comedy",70136369,"Ferris Bueller's Day Off","PG-13","1986-06-11",103,7.8,"Matthew Broderick",264740,"John Hughes",2.21,"$1,093.00 ","$2,414.32 ",13260000,155001375.49
"3",1986,1.5e+07,"Paramount Pictures","USA","Tony Scott","Action",179800601,"Top Gun","PG","1986-05-16",110,6.9,"Tom Cruise",236909,"Jim Cash",2.21,"$1,093.00 ","$2,414.32 ",33150000,397359328.21
"4",1986,18500000,"Twentieth Century Fox Film Corporation","USA","James Cameron","Action",85160248,"Aliens","R","1986-07-18",137,8.4,"Sigourney Weaver",540152,"James Cameron",2.21,"$1,093.00 ","$2,414.32 ",40885000,188204148.08
"5",1986,9e+06,"Walt Disney Pictures","USA","Randal Kleiser","Adventure",18564613,"Flight of the Navigator","PG","1986-08-01",90,6.9,"Joey Cramer",36636,"Mark H. Baker",2.21,"$1,093.00 ","$2,414.32 ",19890000,41027794.73
"6",1986,6e+06,"Hemdale","UK","Oliver Stone","Drama",138530565,"Platoon","R","1987-02-06",120,8.1,"Charlie Sheen",317585,"Oliver Stone",2.21,"$1,093.00 ","$2,414.32 ",13260000,306152548.65
"7",1986,2.5e+07,"Henson Associates (HA)","UK","Jim Henson","Adventure",12729917,"Labyrinth","PG","1986-06-27",101,7.4,"David Bowie",102879,"Dennis Lee",2.21,"$1,093.00 ","$2,414.32 ",55250000,28133116.57
"8",1986,6e+06,"De Laurentiis Entertainment Group (DEG)","USA","David Lynch","Drama",8551228,"Blue Velvet","R","1986-10-23",120,7.8,"Isabella Rossellini",146768,"David Lynch",2.21,"$1,093.00 ","$2,414.32 ",13260000,18898213.88
"9",1986,9e+06,"Paramount Pictures","USA","Howard Deutch","Comedy",40471663,"Pretty in Pink","PG-13","1986-02-28",96,6.8,"Molly Ringwald",60565,"John Hughes",2.21,"$1,093.00 ","$2,414.32 ",19890000,89442375.23
"10",1986,1.5e+07,"SLM Production Group","USA","David Cronenberg","Drama",40456565,"The Fly","R","1986-08-15",96,7.5,"Jeff Goldblum",129698,"George Langelaan",2.21,"$1,093.00 ","$2,414.32 ",33150000,89409008.65
"11",1986,8800000,"Rimfire Films","Australia","Peter Faiman","Adventure",174635000,"Crocodile Dundee","PG-13","1986-09-26",97,6.5,"Paul Hogan",79465,"Ken Shadie",2.21,"$1,093.00 ","$2,414.32 ",19448000,385943350
"12",1986,1.6e+07,"Thorn EMI Screen Entertainment","UK","Russell Mulcahy","Action",5900000,"Highlander","R","1986-03-07",116,7.2,"Christopher Lambert",104860,"Gregory Widen",2.21,"$1,093.00 ","$2,414.32 ",35360000,13039000
"13",1986,6e+06,"Twentieth Century Fox Film Corporation","USA","David Seltzer","Comedy",8200000,"Lucas","PG-13","1986-03-28",100,6.8,"Corey Haim",12228,"David Seltzer",2.21,"$1,093.00 ","$2,414.32 ",13260000,18122000
"14",1986,2.5e+07,"Twentieth Century Fox Film Corporation","USA","John Carpenter","Action",11100000,"Big Trouble in Little China","PG-13","1986-07-02",99,7.3,"Kurt Russell",101678,"Gary Goldman",2.21,"$1,093.00 ","$2,414.32 ",55250000,24531000
"15",1986,1.5e+07,"De Laurentiis Entertainment Group (DEG)","USA","Michael Mann","Crime",8620929,"Manhunter","R","1986-08-15",120,7.2,"William Petersen",54000,"Thomas Harris",2.21,"$1,093.00 ","$2,414.32 ",33150000,19052253.09
"16",1986,1.7e+07,"Producers Sales Organization (PSO)","USA","Adrian Lyne","Drama",6734844,"9½ Weeks","R","1986-02-21",117,5.9,"Mickey Rourke",31798,"Elizabeth McNeill",2.21,"$1,093.00 ","$2,414.32 ",37570000,14884005.24
"17",1986,1e+07,"De Laurentiis Entertainment Group (DEG)","USA","Stephen King","Action",7433663,"Maximum Overdrive","R","1986-07-25",98,5.4,"Emilio Estevez",24881,"Stephen King",2.21,"$1,093.00 ","$2,414.32 ",22100000,16428395.23
"18",1986,2.5e+07,"Geffen Company, The","USA","Frank Oz","Comedy",38747385,"Little Shop of Horrors","PG-13","1986-12-19",94,6.9,"Rick Moranis",53327,"Howard Ashman",2.21,"$1,093.00 ","$2,414.32 ",55250000,85631720.85
"19",1986,2700000,"New Century Entertainment Corporation","USA","Mike Marvin","Action",3500000,"The Wraith","PG-13","1986-11-21",93,5.9,"Charlie Sheen",11635,"Mike Marvin",2.21,"$1,093.00 ","$2,414.32 ",5967000,7735000
"20",1986,3.5e+07,"Universal Pictures","USA","Willard Huyck","Action",16295774,"Howard the Duck","PG","1986-08-01",110,4.6,"Lea Thompson",36020,"Steve Gerber",2.21,"$1,093.00 ","$2,414.32 ",77350000,36013660.54
"21",1986,2e+06,"New Line Cinema","USA","Stephen Herek","Action",13167232,"Critters","PG-13","1986-04-11",82,6,"Dee Wallace",25517,"Domonic Muir",2.21,"$1,093.00 ","$2,414.32 ",4420000,29099582.72
"22",1986,1.1e+07,"Orion Pictures","USA","Alan Metter","Comedy",91258000,"Back to School","PG-13","1986-06-13",96,6.6,"Rodney Dangerfield",23120,"Rodney Dangerfield",2.21,"$1,093.00 ","$2,414.32 ",24310000,201680180
"23",1986,4700000,"Cannon Films","USA","Tobe Hooper","Comedy",8025872,"The Texas Chainsaw Massacre 2","UNRATED","1986-08-22",89,5.6,"Dennis Hopper",21253,"L.M. Kit Carson",2.21,"$1,093.00 ","$2,414.32 ",10387000,17737177.12
"24",1986,1.5e+07,"Jay Weston Productions","USA","Clint Eastwood","Action",42724017,"Heartbreak Ridge","R","1986-12-05",130,6.8,"Clint Eastwood",32954,"James Carabatsos",2.21,"$1,093.00 ","$2,414.32 ",33150000,94420077.57
"25",1986,2.5e+07,"Paramount Pictures","USA","Leonard Nimoy","Adventure",109713132,"Star Trek IV: The Voyage Home","PG","1986-11-26",119,7.3,"William Shatner",66366,"Gene Roddenberry",2.21,"$1,093.00 ","$2,414.32 ",55250000,242466021.72
"26",1986,0,"TriStar Pictures","USA","John Badham","Comedy",40697761,"Short Circuit","PG","1986-05-09",98,6.6,"Ally Sheedy",47068,"S.S. Wilson",2.21,"$1,093.00 ","$2,414.32 ",0,89942051.81
"27",1986,0,"Neue Constantin Film","Italy","Jean-Jacques Annaud","Crime",7153487,"The Name of the Rose","R","1986-09-24",130,7.8,"Sean Connery",86991,"Umberto Eco",2.21,"$1,093.00 ","$2,414.32 ",0,15809206.27
"28",1986,0,"TriStar Pictures","USA","Sidney J. Furie","Action",24159872,"Iron Eagle","PG-13","1986-01-17",117,5.3,"Louis Gossett Jr.",11304,"Kevin Alyn Elders",2.21,"$1,093.00 ","$2,414.32 ",0,53393317.12
"29",1986,2.5e+07,"Paramount Pictures","USA","Michael Ritchie","Action",79817937,"The Golden Child","PG-13","1986-12-12",94,5.9,"Eddie Murphy",42997,"Dennis Feldman",2.21,"$1,093.00 ","$2,414.32 ",55250000,176397640.77
"30",1986,1900000,"Hemdale","USA","Tim Hunter","Crime",4600000,"River's Edge","R","1987-05-08",99,7.1,"Crispin Glover",12862,"Neal Jimenez",2.21,"$1,093.00 ","$2,414.32 ",4199000,10166000
"31",1986,2.5e+07,"L.A. Films","USA","John Landis","Comedy",39246734,"¡Three Amigos!","PG","1986-12-12",104,6.4,"Steve Martin",57406,"Steve Martin",2.21,"$1,093.00 ","$2,414.32 ",55250000,86735282.14
"32",1986,2.5e+07,"Warner Bros.","USA","George P. Cosmatos","Action",49042224,"Cobra","R","1986-05-23",87,5.7,"Sylvester Stallone",54851,"Paula Gosling",2.21,"$1,093.00 ","$2,414.32 ",55250000,108383315.04
"33",1986,0,"Gaumont","France","Jean-Jacques Beineix","Drama",2003822,"Betty Blue","Not specified","1986-11-07",120,7.4,"Jean-Hugues Anglade",14562,"Philippe Djian",2.21,"$1,093.00 ","$2,414.32 ",0,4428446.62
"34",1986,24500000,"Warner Bros.","UK","Roland Joffé","Adventure",17218023,"The Mission","PG","1986-10-31",125,7.5,"Robert De Niro",47497,"Robert Bolt",2.21,"$1,093.00 ","$2,414.32 ",54145000,38051830.83
"35",1986,13800000,"Touchstone Pictures","USA","Martin Scorsese","Drama",52293982,"The Color of Money","R","1986-10-17",119,7,"Paul Newman",62495,"Walter Tevis",2.21,"$1,093.00 ","$2,414.32 ",30498000,115569700.22
