"","year","released","name","company","country","rating","genre","budget","gross","Budget2017","Gross2017","Profit2017","runtime","votes","score","director","star","writer"
"1",1986,"1986-08-22","Stand by Me","Columbia Pictures Corporation","USA","R","Adventure",8e+06,52287414,17680000,115555184.94,97875184.94,89,299174,8.1,"Rob Reiner","Wil Wheaton","Stephen King"
"2",1986,"1986-06-11","Ferris Bueller's Day Off","Paramount Pictures","USA","PG-13","Comedy",6e+06,70136369,13260000,155001375.49,141741375.49,103,264740,7.8,"John Hughes","Matthew Broderick","John Hughes"
"3",1986,"1986-05-16","Top Gun","Paramount Pictures","USA","PG","Action",1.5e+07,179800601,33150000,397359328.21,364209328.21,110,236909,6.9,"Tony Scott","Tom Cruise","Jim Cash"
"4",1986,"1986-07-18","Aliens","Twentieth Century Fox Film Corporation","USA","R","Action",18500000,85160248,40885000,188204148.08,147319148.08,137,540152,8.4,"James Cameron","Sigourney Weaver","James Cameron"
"5",1986,"1986-08-01","Flight of the Navigator","Walt Disney Pictures","USA","PG","Adventure",9e+06,18564613,19890000,41027794.73,21137794.73,90,36636,6.9,"Randal Kleiser","Joey Cramer","Mark H. Baker"
"6",1986,"1987-02-06","Platoon","Hemdale","UK","R","Drama",6e+06,138530565,13260000,306152548.65,292892548.65,120,317585,8.1,"Oliver Stone","Charlie Sheen","Oliver Stone"
"7",1986,"1986-06-27","Labyrinth","Henson Associates (HA)","UK","PG","Adventure",2.5e+07,12729917,55250000,28133116.57,-27116883.43,101,102879,7.4,"Jim Henson","David Bowie","Dennis Lee"
"8",1986,"1986-10-23","Blue Velvet","De Laurentiis Entertainment Group (DEG)","USA","R","Drama",6e+06,8551228,13260000,18898213.88,5638213.88,120,146768,7.8,"David Lynch","Isabella Rossellini","David Lynch"
"9",1986,"1986-02-28","Pretty in Pink","Paramount Pictures","USA","PG-13","Comedy",9e+06,40471663,19890000,89442375.23,69552375.23,96,60565,6.8,"Howard Deutch","Molly Ringwald","John Hughes"
"10",1986,"1986-08-15","The Fly","SLM Production Group","USA","R","Drama",1.5e+07,40456565,33150000,89409008.65,56259008.65,96,129698,7.5,"David Cronenberg","Jeff Goldblum","George Langelaan"
"11",1986,"1986-09-26","Crocodile Dundee","Rimfire Films","Australia","PG-13","Adventure",8800000,174635000,19448000,385943350,366495350,97,79465,6.5,"Peter Faiman","Paul Hogan","Ken Shadie"
"12",1986,"1986-03-07","Highlander","Thorn EMI Screen Entertainment","UK","R","Action",1.6e+07,5900000,35360000,13039000,-22321000,116,104860,7.2,"Russell Mulcahy","Christopher Lambert","Gregory Widen"
"13",1986,"1986-03-28","Lucas","Twentieth Century Fox Film Corporation","USA","PG-13","Comedy",6e+06,8200000,13260000,18122000,4862000,100,12228,6.8,"David Seltzer","Corey Haim","David Seltzer"
"14",1986,"1986-07-02","Big Trouble in Little China","Twentieth Century Fox Film Corporation","USA","PG-13","Action",2.5e+07,11100000,55250000,24531000,-30719000,99,101678,7.3,"John Carpenter","Kurt Russell","Gary Goldman"
"15",1986,"1986-08-15","Manhunter","De Laurentiis Entertainment Group (DEG)","USA","R","Crime",1.5e+07,8620929,33150000,19052253.09,-14097746.91,120,54000,7.2,"Michael Mann","William Petersen","Thomas Harris"
"16",1986,"1986-02-21","9½ Weeks","Producers Sales Organization (PSO)","USA","R","Drama",1.7e+07,6734844,37570000,14884005.24,-22685994.76,117,31798,5.9,"Adrian Lyne","Mickey Rourke","Elizabeth McNeill"
"17",1986,"1986-07-25","Maximum Overdrive","De Laurentiis Entertainment Group (DEG)","USA","R","Action",1e+07,7433663,22100000,16428395.23,-5671604.77,98,24881,5.4,"Stephen King","Emilio Estevez","Stephen King"
"18",1986,"1986-12-19","Little Shop of Horrors","Geffen Company, The","USA","PG-13","Comedy",2.5e+07,38747385,55250000,85631720.85,30381720.85,94,53327,6.9,"Frank Oz","Rick Moranis","Howard Ashman"
"19",1986,"1986-11-21","The Wraith","New Century Entertainment Corporation","USA","PG-13","Action",2700000,3500000,5967000,7735000,1768000,93,11635,5.9,"Mike Marvin","Charlie Sheen","Mike Marvin"
"20",1986,"1986-08-01","Howard the Duck","Universal Pictures","USA","PG","Action",3.5e+07,16295774,77350000,36013660.54,-41336339.46,110,36020,4.6,"Willard Huyck","Lea Thompson","Steve Gerber"
"21",1986,"1986-04-11","Critters","New Line Cinema","USA","PG-13","Action",2e+06,13167232,4420000,29099582.72,24679582.72,82,25517,6,"Stephen Herek","Dee Wallace","Domonic Muir"
"22",1986,"1986-06-13","Back to School","Orion Pictures","USA","PG-13","Comedy",1.1e+07,91258000,24310000,201680180,177370180,96,23120,6.6,"Alan Metter","Rodney Dangerfield","Rodney Dangerfield"
"24",1986,"1986-12-05","Heartbreak Ridge","Jay Weston Productions","USA","R","Action",1.5e+07,42724017,33150000,94420077.57,61270077.57,130,32954,6.8,"Clint Eastwood","Clint Eastwood","James Carabatsos"
"25",1986,"1986-11-26","Star Trek IV: The Voyage Home","Paramount Pictures","USA","PG","Adventure",2.5e+07,109713132,55250000,242466021.72,187216021.72,119,66366,7.3,"Leonard Nimoy","William Shatner","Gene Roddenberry"
"26",1986,"1986-05-09","Short Circuit","TriStar Pictures","USA","PG","Comedy",0,40697761,0,89942051.81,89942051.81,98,47068,6.6,"John Badham","Ally Sheedy","S.S. Wilson"
"27",1986,"1986-09-24","The Name of the Rose","Neue Constantin Film","Italy","R","Crime",0,7153487,0,15809206.27,15809206.27,130,86991,7.8,"Jean-Jacques Annaud","Sean Connery","Umberto Eco"
"28",1986,"1986-01-17","Iron Eagle","TriStar Pictures","USA","PG-13","Action",0,24159872,0,53393317.12,53393317.12,117,11304,5.3,"Sidney J. Furie","Louis Gossett Jr.","Kevin Alyn Elders"
"29",1986,"1986-12-12","The Golden Child","Paramount Pictures","USA","PG-13","Action",2.5e+07,79817937,55250000,176397640.77,121147640.77,94,42997,5.9,"Michael Ritchie","Eddie Murphy","Dennis Feldman"
"30",1986,"1987-05-08","River's Edge","Hemdale","USA","R","Crime",1900000,4600000,4199000,10166000,5967000,99,12862,7.1,"Tim Hunter","Crispin Glover","Neal Jimenez"
"31",1986,"1986-12-12","¡Three Amigos!","L.A. Films","USA","PG","Comedy",2.5e+07,39246734,55250000,86735282.14,31485282.14,104,57406,6.4,"John Landis","Steve Martin","Steve Martin"
