"","Date","Year","Round","Region","wSeed","Winner","WConf","WScore","LSeed","Loser","LConf","LScore","OT","SeD","ScD","Upset"
"1","16-Mar-06",2006,"64","East",4,"Illinois","B10",78,13,"Air Force","MWC",69,"",-9,9,"4 over 13"
"2","18-Mar-04",2004,"64","South",6,"North Carolina","ACC",63,11,"Air Force","MWC",52,"",-5,11,"6 over 11"
"3","18-Mar-11",2011,"64","Southwest",2,"Notre Dame","ACC",69,15,"Akron","MAC",56,"",-13,13,"2 over 15"
"4","21-Mar-13",2013,"64","South",5,"VCU","A10",88,12,"Akron","MAC",42,"",-7,46,"5 over 12"
"5","14-Mar-86",1986,"64","Midwest",2,"Michigan","B10",70,15,"Akron","MAC",64,"",-13,6,"2 over 15"
"6","19-Mar-09",2009,"64","South",4,"Gonzaga","WCC",77,13,"Akron","MAC",64,"",-9,13,"4 over 13"
"7","16-Mar-02",2002,"32","South",10,"Kent St.","MAC",71,2,"Alabama","SEC",58,"",8,13,"10 over 2"
"8","21-Mar-91",1991,"16","Southeast",1,"Arkansas","SEC",93,4,"Alabama","SEC",70,"",-3,23,"1 over 4"
"9","21-Mar-92",1992,"32","Southeast",4,"North Carolina","ACC",64,5,"Alabama","SEC",55,"",-1,9,"4 over 5"
"10","16-Mar-12",2012,"64","Midwest",8,"Creighton","BE",58,9,"Alabama","SEC",57,"",-1,1,"8 over 9"
"11","27-Mar-04",2004,"8","West",2,"Connecticut","Amer",87,8,"Alabama","SEC",71,"",-6,16,"2 over 8"
"12","17-Mar-89",1989,"64","Southeast",11,"South Alabama","SB",86,6,"Alabama","SEC",84,"",5,2,"11 over 6"
"13","19-Mar-94",1994,"32","Southeast",1,"Purdue","B10",83,9,"Alabama","SEC",73,"",-8,10,"1 over 9"
"14","19-Mar-87",1987,"16","Southeast",6,"Providence","BE",103,2,"Alabama","SEC",82,"",4,21,"6 over 2"
"15","23-Mar-90",1990,"16","West",11,"Loyola Marymount","WCC",62,7,"Alabama","SEC",60,"",4,2,"11 over 7"
"16","18-Mar-06",2006,"32","West",2,"UCLA","P12",62,10,"Alabama","SEC",59,"",-8,3,"2 over 10"
"17","22-Mar-85",1985,"16","West",3,"North Carolina St.","ACC",61,7,"Alabama","SEC",55,"",-4,6,"3 over 7"
"18","21-Mar-03",2003,"64","Midwest",7,"Indiana","B10",67,10,"Alabama","SEC",62,"",-3,5,"7 over 10"
"19","17-Mar-05",2005,"64","Midwest",12,"Milwaukee","Horz",83,5,"Alabama","SEC",73,"",7,10,"12 over 5"
"20","20-Mar-86",1986,"16","Southeast",1,"Kentucky","SEC",68,5,"Alabama","SEC",63,"",-4,5,"1 over 5"
"21","18-Mar-95",1995,"32","East",4,"Oklahoma St.","B12",66,5,"Alabama","SEC",52,"",-1,14,"4 over 5"
"22","15-Mar-05",2005,"Play-in","East",16,"Oakland","Horz",79,16,"Alabama A&M","SWAC",69,"",0,10,"16 over 16"
"23","16-Mar-01",2001,"64","South",1,"Michigan St.","B10",69,16,"Alabama St.","SWAC",35,"",-15,34,"1 over 16"
"24","17-Mar-09",2009,"Play-in","Midwest",16,"Morehead St.","OVC",58,16,"Alabama St.","SWAC",43,"",0,15,"16 over 16"
"25","16-Mar-11",2011,"Play-in","East",16,"UTSA","CUSA",70,16,"Alabama St.","SWAC",61,"",0,9,"16 over 16"
"26","18-Mar-04",2004,"64","South",1,"Duke","ACC",96,16,"Alabama St.","SWAC",61,"",-15,35,"1 over 16"
